source,target,value
Častější pohyb lidí mimo stezky,KES Duševní a fyzické zdraví,7
Častější pohyb lidí mimo stezky,KES Ekofilie,5
Častější pohyb lidí mimo stezky,KES Estetika,3
Častější pohyb lidí mimo stezky,KES Existenční hodnota,15
Častější pohyb lidí mimo stezky,KES Hodnota odkazu,22
Častější pohyb lidí mimo stezky,KES Identita,3
Častější pohyb lidí mimo stezky,KES Rekreace,3
Častější pohyb lidí mimo stezky,KES Smysl pro místo,4
Častější pohyb lidí mimo stezky,KES Vzdělávání,1
Nevím / Jiné,KES Ekofilie,1
Nevím / Jiné,KES Estetika,1
Nevím / Jiné,KES Hodnota odkazu,1
Nevím / Jiné,KES Identita,1
Nevím / Jiné,KES Smysl pro místo,1
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,14
Nárůst rekreačních aktivit,KES Ekofilie,4
Nárůst rekreačních aktivit,KES Estetika,11
Nárůst rekreačních aktivit,KES Existenční hodnota,25
Nárůst rekreačních aktivit,KES Hodnota odkazu,22
Nárůst rekreačních aktivit,KES Identita,3
Nárůst rekreačních aktivit,KES Rekreace,4
Nárůst rekreačních aktivit,KES Smysl pro místo,7
Nárůst rekreačních aktivit,KES Vzdělávání,1
Nižší kvalita vody v řece,KES Duchovní hodnota,1
Nižší kvalita vody v řece,KES Duševní a fyzické zdraví,4
Nižší kvalita vody v řece,KES Ekofilie,3
Nižší kvalita vody v řece,KES Estetika,5
Nižší kvalita vody v řece,KES Existenční hodnota,10
Nižší kvalita vody v řece,KES Hodnota odkazu,21
Nižší kvalita vody v řece,KES Rekreace,1
Nižší kvalita vody v řece,KES Smysl pro místo,2
Nižší množství vody v řece,KES Duchovní hodnota,1
Nižší množství vody v řece,KES Duševní a fyzické zdraví,6
Nižší množství vody v řece,KES Ekofilie,5
Nižší množství vody v řece,KES Estetika,3
Nižší množství vody v řece,KES Existenční hodnota,20
Nižší množství vody v řece,KES Hodnota odkazu,24
Nižší množství vody v řece,KES Identita,3
Nižší množství vody v řece,KES Rekreace,2
Nižší množství vody v řece,KES Smysl pro místo,3
Revitalizace toku řeky,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Ekofilie,3
Revitalizace toku řeky,KES Estetika,1
Revitalizace toku řeky,KES Existenční hodnota,3
Revitalizace toku řeky,KES Hodnota odkazu,5
Revitalizace toku řeky,KES Rekreace,1
Revitalizace toku řeky,KES Smysl pro místo,1
Rozvoj (cyklo)turistické infrastruktury,KES Duševní a fyzické zdraví,11
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,6
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,9
Rozvoj (cyklo)turistické infrastruktury,KES Existenční hodnota,14
Rozvoj (cyklo)turistické infrastruktury,KES Hodnota odkazu,20
Rozvoj (cyklo)turistické infrastruktury,KES Identita,2
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,5
Rozvoj (cyklo)turistické infrastruktury,KES Smysl pro místo,7
Rozvoj (cyklo)turistické infrastruktury,KES Vzdělávání,1
"Rušení zvířat, ničení přírody",KES Duševní a fyzické zdraví,6
"Rušení zvířat, ničení přírody",KES Ekofilie,5
"Rušení zvířat, ničení přírody",KES Estetika,5
"Rušení zvířat, ničení přírody",KES Existenční hodnota,29
"Rušení zvířat, ničení přírody",KES Hodnota odkazu,26
"Rušení zvířat, ničení přírody",KES Identita,3
"Rušení zvířat, ničení přírody",KES Rekreace,2
"Rušení zvířat, ničení přírody",KES Smysl pro místo,6
"Rušení zvířat, ničení přírody",KES Vzdělávání,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Duchovní hodnota,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Duševní a fyzické zdraví,7
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Ekofilie,6
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Estetika,9
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Existenční hodnota,24
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Hodnota odkazu,24
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Identita,4
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Rekreace,2
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Smysl pro místo,6
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Vzdělávání,1
Správa a péče o území,KES Duševní a fyzické zdraví,2
Správa a péče o území,KES Ekofilie,2
Správa a péče o území,KES Estetika,3
Správa a péče o území,KES Existenční hodnota,5
Správa a péče o území,KES Hodnota odkazu,8
Správa a péče o území,KES Identita,3
Správa a péče o území,KES Rekreace,2
Správa a péče o území,KES Smysl pro místo,2
Technické úpravy koryta řeky,KES Duchovní hodnota,1
Technické úpravy koryta řeky,KES Duševní a fyzické zdraví,2
Technické úpravy koryta řeky,KES Ekofilie,7
Technické úpravy koryta řeky,KES Estetika,4
Technické úpravy koryta řeky,KES Existenční hodnota,20
Technické úpravy koryta řeky,KES Hodnota odkazu,13
Technické úpravy koryta řeky,KES Identita,3
Technické úpravy koryta řeky,KES Rekreace,2
Technické úpravy koryta řeky,KES Smysl pro místo,2
Technické úpravy koryta řeky,KES Vzdělávání,1
Více odpadků,KES Duchovní hodnota,1
Více odpadků,KES Duševní a fyzické zdraví,11
Více odpadků,KES Ekofilie,9
Více odpadků,KES Estetika,20
Více odpadků,KES Existenční hodnota,32
Více odpadků,KES Hodnota odkazu,37
Více odpadků,KES Identita,6
Více odpadků,KES Rekreace,3
Více odpadků,KES Smysl pro místo,6
Více odpadků,KES Vzdělávání,1
Více technických staveb na toku,KES Duchovní hodnota,1
