source,target,value
Častější pohyb lidí mimo stezky,KES Ekofilie,1
Častější pohyb lidí mimo stezky,KES Estetika,1
Častější pohyb lidí mimo stezky,KES Existenční hodnota,7
Častější pohyb lidí mimo stezky,KES Hodnota odkazu,4
Častější pohyb lidí mimo stezky,KES Identita,2
Častější pohyb lidí mimo stezky,KES Smysl pro místo,1
Nevím / Jiné,KES Estetika,1
Nevím / Jiné,KES Hodnota odkazu,1
Nevím / Jiné,KES Smysl pro místo,1
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,4
Nárůst rekreačních aktivit,KES Ekofilie,2
Nárůst rekreačních aktivit,KES Estetika,5
Nárůst rekreačních aktivit,KES Existenční hodnota,13
Nárůst rekreačních aktivit,KES Hodnota odkazu,7
Nárůst rekreačních aktivit,KES Identita,2
Nárůst rekreačních aktivit,KES Smysl pro místo,4
Nižší kvalita vody v řece,KES Duševní a fyzické zdraví,1
Nižší kvalita vody v řece,KES Ekofilie,2
Nižší kvalita vody v řece,KES Estetika,2
Nižší kvalita vody v řece,KES Existenční hodnota,3
Nižší kvalita vody v řece,KES Hodnota odkazu,9
Nižší množství vody v řece,KES Duševní a fyzické zdraví,1
Nižší množství vody v řece,KES Ekofilie,2
Nižší množství vody v řece,KES Existenční hodnota,2
Nižší množství vody v řece ,KES Hodnota odkazu,4
Revitalizace toku řeky,KES Ekofilie,1
Revitalizace toku řeky,KES Estetika,1
Revitalizace toku řeky,KES Existenční hodnota,1
Revitalizace toku řeky,KES Hodnota odkazu,1
Rozvoj (cyklo)turistické infrastruktury,KES Duševní a fyzické zdraví,5
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,1
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,3
Rozvoj (cyklo)turistické infrastruktury,KES Existenční hodnota,6
Rozvoj (cyklo)turistické infrastruktury,KES Hodnota odkazu,7
Rozvoj (cyklo)turistické infrastruktury,KES Identita,2
Rozvoj (cyklo)turistické infrastruktury,KES Smysl pro místo,5
"Rušení zvířat, ničení přírody",KES Ekofilie,2
"Rušení zvířat, ničení přírody",KES Estetika,2
"Rušení zvířat, ničení přírody",KES Existenční hodnota,13
"Rušení zvířat, ničení přírody",KES Hodnota odkazu,10
"Rušení zvířat, ničení přírody",KES Identita,1
"Rušení zvířat, ničení přírody",KES Smysl pro místo,3
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Duševní a fyzické zdraví,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Ekofilie,2
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Estetika,3
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Existenční hodnota,5
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Hodnota odkazu,9
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Identita,2
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Smysl pro místo,3
Správa a péče o území,KES Duševní a fyzické zdraví,1
Správa a péče o území,KES Estetika,2
Správa a péče o území,KES Existenční hodnota,3
Správa a péče o území,KES Smysl pro místo,1
"Správa a péče o území, ",KES Hodnota odkazu,5
Technické úpravy koryta řeky,KES Duševní a fyzické zdraví,1
Technické úpravy koryta řeky,KES Estetika,2
Technické úpravy koryta řeky,KES Existenční hodnota,8
Technické úpravy koryta řeky,KES Hodnota odkazu,2
Technické úpravy koryta řeky,KES Identita,1
Technické úpravy koryta řeky,KES Smysl pro místo,1
Více odpadků,KES Duševní a fyzické zdraví,2
Více odpadků,KES Ekofilie,2
Více odpadků,KES Estetika,8
Více odpadků,KES Existenční hodnota,14
Více odpadků,KES Hodnota odkazu,15
Více odpadků,KES Identita,2
Více odpadků,KES Smysl pro místo,3
Více technických staveb na toku,KES Duševní a fyzické zdraví,1
Více technických staveb na toku,KES Ekofilie,1
Více technických staveb na toku,KES Estetika,5
Více technických staveb na toku,KES Existenční hodnota,8
Více technických staveb na toku,KES Hodnota odkazu,5
Více technických staveb na toku,KES Identita,1
Více technických staveb na toku,KES Smysl pro místo,2
Více zástavby v záplavovém území,KES Duševní a fyzické zdraví,7
Více zástavby v záplavovém území,KES Estetika,5
Více zástavby v záplavovém území,KES Existenční hodnota,12
Více zástavby v záplavovém území,KES Hodnota odkazu,13
Více zástavby v záplavovém území,KES Identita,3
Více zástavby v záplavovém území,KES Smysl pro místo,4
Vysazování ryb,KES Estetika,1
Vysazování ryb,KES Existenční hodnota,2
Zanášení (sedimentace) toku řeky,KES Duševní a fyzické zdraví,1
Zanášení (sedimentace) toku řeky,KES Ekofilie,1
Zanášení (sedimentace) toku řeky,KES Estetika,1
Zanášení (sedimentace) toku řeky,KES Existenční hodnota,1
Zanášení (sedimentace) toku řeky,KES Hodnota odkazu,7
Zanášení (sedimentace) toku řeky,KES Identita,1
Zanášení (sedimentace) toku řeky,KES Smysl pro místo,3
