source,target,value
Nárůst rekreačních aktivit,KES Estetika,1
Nárůst rekreačních aktivit,KES Rekreace,4
Nevím / Jiné,KES Estetika,1
Nevím / Jiné,KES Ekofilie,2
Nevím / Jiné,KES Rekreace,1
Nevím / Jiné,KES Nauky a vědění,1
Nevím / Jiné,KES Identita,2
Revitalizace toku řeky,KES Estetika,2
Revitalizace toku řeky,KES Ekofilie,2
Revitalizace toku řeky,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Rekreace,6
Revitalizace toku řeky,KES Existenční hodnota,3
Revitalizace toku řeky,KES Hodnota odkazu,2
Revitalizace toku řeky,KES Identita,1
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,1
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,1
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,26
Správa a péče o území,KES Smysl pro místo,2
Správa a péče o území,KES Estetika,6
Správa a péče o území,KES Ekofilie,2
Správa a péče o území,KES Vzdělávání,1
Správa a péče o území,KES Duševní a fyzické zdraví,1
Správa a péče o území,KES Rekreace,13
Správa a péče o území,KES Existenční hodnota,1
Správa a péče o území,KES Hodnota odkazu,3
Správa a péče o území,KES Identita,5
Technické úpravy koryta řeky,KES Estetika,1
Technické úpravy koryta řeky,KES Ekofilie,1
Technické úpravy koryta řeky,KES Duševní a fyzické zdraví,1
Technické úpravy koryta řeky,KES Rekreace,1
Technické úpravy koryta řeky,KES Hodnota odkazu,1
Více technických staveb na toku,KES Rekreace,1
Více zástavby v záplavovém území,KES Rekreace,2
Vysazování ryb,KES Estetika,1
Vysazování ryb,KES Duševní a fyzické zdraví,1
Vysazování ryb,KES Rekreace,2
Vysazování ryb,KES Hodnota odkazu,1
