source,target,value
Častější pohyb lidí mimo stezky,KES Estetika,1
Nárůst rekreačních aktivit,KES Estetika,2
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Estetika,3
Revitalizace toku řeky,KES Hodnota odkazu,1
Rozvoj (cyklo)turistické infrastruktury,KES Duchovní hodnota,1
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,2
Rozvoj (cyklo)turistické infrastruktury,KES Duševní a fyzické zdraví,3
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,14
Správa a péče o území,KES Estetika,6
Správa a péče o území,KES Rekreace,3
Správa a péče o území,KES Existenční hodnota,1
Správa a péče o území,KES Identita,1
Technické úpravy koryta řeky,KES Estetika,1
Vysazování ryb,KES Estetika,4
Vysazování ryb,KES Duševní a fyzické zdraví,1
Nevím / Jiné,KES Vzdělávání,1
Nevím / Jiné,KES Duševní a fyzické zdraví,1
Nevím / Jiné,KES Rekreace,1
Nevím / Jiné,KES Nauky a vědění,1
Nevím / Jiné,KES Identita,1
