source,target,value
Častější pohyb lidí mimo stezky,KES Ekofilie,1
Častější pohyb lidí mimo stezky,KES Identita,1
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,1
Nárůst rekreačních aktivit,KES Identita,1
Nárůst rekreačních aktivit,KES Rekreace,1
Nárůst rekreačních aktivit,KES Vzdělávání,1
Nižší množství vody v řece,KES Vzdělávání,2
Revitalizace toku řeky,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Ekofilie,2
Revitalizace toku řeky,KES Hodnota odkazu,1
Revitalizace toku řeky,KES Identita,1
Revitalizace toku řeky,KES Nauky a vědění,1
Revitalizace toku řeky,KES Rekreace,1
Revitalizace toku řeky,KES Vzdělávání,2
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,2
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,1
Rozvoj (cyklo)turistické infrastruktury,KES Identita,1
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,3
Správa a péče o území,KES Duševní a fyzické zdraví,2
Správa a péče o území,KES Ekofilie,4
Správa a péče o území,KES Estetika,1
Správa a péče o území,KES Hodnota odkazu,6
Správa a péče o území,KES Identita,2
Správa a péče o území,KES Nauky a vědění,2
Správa a péče o území,KES Rekreace,4
Správa a péče o území,KES Vzdělávání,4
Technické úpravy koryta řeky,KES Rekreace,1
Více technických staveb na toku,KES Rekreace,1
Vysazování ryb,KES Ekofilie,3
Vysazování ryb,KES Identita,1
Vysazování ryb,KES Vzdělávání,2
Nevím / Jiné,KES Estetika,1
Nevím / Jiné,KES Identita,1
Nevím / Jiné,KES Rekreace,3
Nevím / Jiné,KES Vzdělávání,2
Zanášení (sedimentace) toku řeky,KES Vzdělávání,1
