source,target,value
Častější pohyb lidí mimo stezky,KES Duševní a fyzické zdraví,3
Častější pohyb lidí mimo stezky,KES Rekreace,1
Častější pohyb lidí mimo stezky,KES Existenční hodnota,3
Častější pohyb lidí mimo stezky,KES Hodnota odkazu,5
Nevím / Jiné,KES Ekofilie,1
Nevím / Jiné,KES Identita,1
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,3
Nárůst rekreačních aktivit,KES Existenční hodnota,6
Nárůst rekreačních aktivit,KES Hodnota odkazu,4
Nižší kvalita vody v řece,KES Existenční hodnota,3
Nižší kvalita vody v řece,KES Hodnota odkazu,2
Nižší množství vody v řece,KES Rekreace,1
Nižší množství vody v řece,KES Existenční hodnota,7
Nižší množství vody v řece,KES Hodnota odkazu,6
Nižší množství vody v řece,KES Identita,1
Revitalizace toku řeky,KES Smysl pro místo,1
Revitalizace toku řeky,KES Ekofilie,1
Rozvoj (cyklo)turistické infrastruktury,KES Duševní a fyzické zdraví,1
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,1
Rozvoj (cyklo)turistické infrastruktury,KES Existenční hodnota,2
Rozvoj (cyklo)turistické infrastruktury,KES Hodnota odkazu,2
"Rušení zvířat, ničení přírody",KES Duševní a fyzické zdraví,3
"Rušení zvířat, ničení přírody",KES Rekreace,1
"Rušení zvířat, ničení přírody",KES Existenční hodnota,5
"Rušení zvířat, ničení přírody",KES Hodnota odkazu,7
"Rušení zvířat, ničení přírody",KES Identita,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Duševní a fyzické zdraví,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Existenční hodnota,6
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Hodnota odkazu,6
Správa a péče o území,KES Smysl pro místo,1
Správa a péče o území,KES Existenční hodnota,1
Správa a péče o území,KES Hodnota odkazu,1
Správa a péče o území,KES Identita,2
Technické úpravy koryta řeky,KES Ekofilie,1
Technické úpravy koryta řeky,KES Existenční hodnota,3
Technické úpravy koryta řeky,KES Hodnota odkazu,2
Technické úpravy koryta řeky,KES Identita,1
Více odpadků,KES Estetika,1
Více odpadků,KES Duševní a fyzické zdraví,3
Více odpadků,KES Rekreace,2
Více odpadků,KES Existenční hodnota,5
Více odpadků,KES Hodnota odkazu,6
Více odpadků,KES Identita,2
Více technických staveb na toku,KES Ekofilie,1
Více technických staveb na toku,KES Duševní a fyzické zdraví,1
Více technických staveb na toku,KES Existenční hodnota,3
Více technických staveb na toku,KES Hodnota odkazu,1
Více zástavby v záplavovém území,KES Duchovní hodnota,1
Více zástavby v záplavovém území,KES Existenční hodnota,4
Více zástavby v záplavovém území,KES Hodnota odkazu,3
Více zástavby v záplavovém území ,KES Duševní a fyzické zdraví,2
Vysazování ryb,KES Existenční hodnota,1
Zanášení (sedimentace) toku řeky,KES Duševní a fyzické zdraví,1
Zanášení (sedimentace) toku řeky,KES Existenční hodnota,1
Zanášení (sedimentace) toku řeky,KES Hodnota odkazu,2
Zanášení (sedimentace) toku řeky,KES Identita,1
