source,target,value
Častější pohyb lidí mimo stezky,KES Duševní a fyzické zdraví,1
Nevím / Jiné,KES Duševní a fyzické zdraví,1
Nevím / Jiné,KES Rekreace,2
Nevím / Jiné,KES Hodnota odkazu,2
Nevím / Jiné,KES Identita,1
Nárůst rekreačních aktivit,KES Duševní a fyzické zdraví,1
Nárůst rekreačních aktivit,KES Rekreace,2
Nižší množství vody v řece,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Ekofilie,2
Revitalizace toku řeky,KES Duševní a fyzické zdraví,1
Revitalizace toku řeky,KES Rekreace,3
Revitalizace toku řeky,KES Existenční hodnota,1
Revitalizace toku řeky,KES Hodnota odkazu,3
Rozvoj (cyklo)turistické infrastruktury,KES Estetika,1
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,2
Rozvoj (cyklo)turistické infrastruktury,KES Vzdělávání,1
Rozvoj (cyklo)turistické infrastruktury,KES Duševní a fyzické zdraví,2
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,2
Rozvoj (cyklo)turistické infrastruktury,KES Identita,1
"Šíření nepůvodních a invazních druhů (rostlin, živočichů)",KES Duševní a fyzické zdraví,1
Správa a péče o území,KES Ekofilie,5
Správa a péče o území,KES Vzdělávání,1
Správa a péče o území,KES Duševní a fyzické zdraví,2
Správa a péče o území,KES Rekreace,2
Správa a péče o území,KES Existenční hodnota,3
Správa a péče o území,KES Nauky a vědění,1
Správa a péče o území,KES Hodnota odkazu,6
Správa a péče o území,KES Identita,1
Více technických staveb na toku,KES Rekreace,1
Vysazování ryb,KES Rekreace,1
Vysazování ryb,KES Existenční hodnota,1
Zanášení (sedimentace) toku řeky,KES Duševní a fyzické zdraví,1
