source,target,value
Nevím / Jiné,KES Duševní a fyzické zdraví,2
Nevím / Jiné,KES Estetika,2
Nevím / Jiné,KES Existenční hodnota,1
Nevím / Jiné,KES Vzdělávání,1
Nárůst rekreačních aktivit,KES Ekofilie,1
Revitalizace toku řeky,KES Duševní a fyzické zdraví,2
Revitalizace toku řeky,KES Ekofilie,2
Revitalizace toku řeky,KES Estetika,1
Revitalizace toku řeky,KES Hodnota odkazu,1
Revitalizace toku řeky,KES Identita,1
Revitalizace toku řeky,KES Smysl pro místo,1
Revitalizace toku řeky,KES Vzdělávání,1
Rozvoj (cyklo)turistické infrastruktury,KES Ekofilie,2
Rozvoj (cyklo)turistické infrastruktury,KES Rekreace,3
Správa a péče o území,KES Duševní a fyzické zdraví,5
Správa a péče o území,KES Ekofilie,3
Správa a péče o území,KES Existenční hodnota,1
Správa a péče o území,KES Hodnota odkazu,4
Správa a péče o území,KES Identita,2
Správa a péče o území,KES Nauky a vědění,2
Správa a péče o území,KES Rekreace,3
Správa a péče o území,KES Smysl pro místo,2
Správa a péče o území,KES Vzdělávání,1
Technické úpravy koryta řeky,KES Duševní a fyzické zdraví,1
Technické úpravy koryta řeky,KES Ekofilie,2
Více zástavby v záplavovém území,KES Rekreace,1
Vysazování ryb,KES Duševní a fyzické zdraví,2
Vysazování ryb,KES Estetika,1
Vysazování ryb,KES Hodnota odkazu,2
Vysazování ryb,KES Rekreace,1
Vysazování ryb,KES Smysl pro místo,2
